# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.01704482	0.99979097	0.01099746	-0.0752168	0.99699485	0.018542718
2.047e-12	-0.03370014	0.9991757	0.022039047	-0.14869846	0.98811483	0.038960055
4.095e-12	-0.06576205	0.9968045	0.044199992	-0.28720015	0.95418316	0.08396855
8.191e-12	-0.12473619	0.98802364	0.08868632	-0.5162016	0.8371854	0.18070835
1.3057098839506595e-11	-0.18564637	0.9719141	0.14147234	-0.69528866	0.65923107	0.28632075
1.8001199931565083e-11	-0.23732142	0.95090336	0.19461644	-0.7934978	0.483936	0.36897478
2.3512696384976775e-11	-0.28310046	0.92382157	0.2528441	-0.84261703	0.32299006	0.4308484
2.994980969081495e-11	-0.32161912	0.88946825	0.31901255	-0.86202437	0.18513411	0.47178635
3.689795850975863e-11	-0.34657434	0.8512076	0.3877506	-0.8674229	0.08363274	0.49042577
4.4067837661797444e-11	-0.35612297	0.8120096	0.45540437	-0.87050474	0.012216894	0.49192947
5.1376562135861825e-11	-0.35097075	0.7731483	0.5207029	-0.87524164	-0.040806476	0.4818651
5.875679122932964e-11	-0.33254462	0.7350928	0.582729	-0.88142514	-0.08400625	0.46467996
6.626334380262518e-11	-0.30213356	0.69706154	0.6416599	-0.88772976	-0.12280078	0.4435598
7.395891223402993e-11	-0.26068673	0.6577351	0.69758105	-0.8929956	-0.15964669	0.42067042
8.187907575623216e-11	-0.2091969	0.6154618	0.7501811	-0.8966069	-0.19518417	0.39736414
9.00319102477232e-11	-0.1490419	0.5683258	0.7987777	-0.89849627	-0.22924852	0.37424186
9.84166673606016e-11	-0.08210253	0.5142088	0.84246093	-0.8989545	-0.2615941	0.35123035
1.0700687784248603e-10	-0.01103751	0.45118552	0.88004005	-0.89839077	-0.29209667	0.32785597
1.1585305486785211e-10	0.061536863	0.37707	0.91048056	-0.89715767	-0.32107213	0.30321154
1.2497362163422923e-10	0.13217846	0.29047123	0.9323533	-0.89549506	-0.3486994	0.2764306
1.3426309478238547e-10	0.19627506	0.19237985	0.944	-0.8935654	-0.37468046	0.24712709
1.4387593913737452e-10	0.2512312	0.082480185	0.9441974	-0.8913878	-0.39927614	0.21429352
1.5366052789295346e-10	0.293396	-0.034709625	0.9317552	-0.88895905	-0.42179227	0.17819911
1.6333010740510435e-10	0.32123327	-0.15162167	0.90707654	-0.8862497	-0.44139248	0.14014414
1.7305890236586867e-10	0.33703494	-0.2660111	0.8703995	-0.8830725	-0.45834714	0.10000442
1.8277031356392557e-10	0.34390947	-0.37304932	0.8228831	-0.879313	-0.47248906	0.058798585
1.9229398615523875e-10	0.34635276	-0.46805435	0.766882	-0.8749653	-0.48373806	0.018010715
2.0140989281828381e-10	0.34916577	-0.54771686	0.70576495	-0.870157	-0.49222326	-0.02081877
2.1041983055818096e-10	0.3566106	-0.61420727	0.63932025	-0.8647828	-0.4986004	-0.05864942
2.1953406022775778e-10	0.372687	-0.66785944	0.56718343	-0.8587216	-0.50321615	-0.09625525
2.285943807427599e-10	0.4003051	-0.7062429	0.4917457	-0.8520528	-0.50615096	-0.1331022
2.3795714102683306e-10	0.44327897	-0.7282542	0.41117913	-0.8444221	-0.50757277	-0.17095415
2.4720425397633775e-10	0.50094336	-0.7296474	0.33042133	-0.8360469	-0.5073734	-0.20858079
2.5613706342540045e-10	0.5700767	-0.70855355	0.25282913	-0.82707393	-0.50549555	-0.24562344
2.648979823124545e-10	0.6478933	-0.6630912	0.17884895	-0.81741774	-0.5016465	-0.28298393
2.7339781865582914e-10	0.7283201	-0.59270173	0.11096441	-0.80737877	-0.4953496	-0.32039383
2.8187736241330087e-10	0.80714947	-0.49496913	0.049168974	-0.7970895	-0.48555595	-0.35879904
2.9023167487074854e-10	0.87603664	-0.37197673	-0.0036898814	-0.78740203	-0.4711253	-0.39729565
2.9844480660810845e-10	0.9276159	-0.22784421	-0.04570039	-0.7794361	-0.45065546	-0.43488568
3.0658945765169865e-10	0.9561272	-0.067440346	-0.07564724	-0.774647	-0.4223804	-0.47028023
3.1480454816642735e-10	0.9570457	0.104157165	-0.09245762	-0.7750574	-0.3840977	-0.5012914
3.2253824058900287e-10	0.9304966	0.26614502	-0.09512128	-0.7824578	-0.33821315	-0.5223056
3.3027849342383726e-10	0.87852883	0.42022058	-0.08483866	-0.79865885	-0.2832894	-0.5303166
3.38211095988265e-10	0.8031297	0.56203413	-0.06140983	-0.8254746	-0.22052416	-0.51891285
3.460907018654879e-10	0.7125568	0.68101144	-0.02643573	-0.86138403	-0.15724772	-0.48233873
3.540539271983821e-10	0.61298907	0.7758916	0.01898876	-0.90314376	-0.099967554	-0.41693443
3.6219702414063703e-10	0.51101017	0.84605217	0.07372776	-0.9447037	-0.055911697	-0.32260796
3.7027810821344507e-10	0.4168017	0.8906522	0.13402532	-0.9772656	-0.030907337	-0.20918708
3.7831941509795377e-10	0.33535376	0.91356456	0.19773659	-0.9957251	-0.023551166	-0.087639496
3.8643601553084325e-10	0.26909995	0.91887844	0.26380482	-0.99882364	-0.02828681	0.03263635
3.9485723734599295e-10	0.21918671	0.90952694	0.33239228	-0.9883486	-0.03782551	0.14513868
4.031963416279611e-10	0.18899822	0.88878363	0.3988196	-0.9700747	-0.044385202	0.23730926
4.114926445456703e-10	0.17715491	0.8592996	0.46219847	-0.9509495	-0.044173628	0.30544654
4.198431494314105e-10	0.1819538	0.8222606	0.5222512	-0.93680656	-0.038550094	0.34749833
4.2797580274236027e-10	0.20072426	0.77979046	0.57631326	-0.9313582	-0.03405066	0.36250323
4.357585582410757e-10	0.22958663	0.7333603	0.6233101	-0.93373936	-0.03842786	0.35580984
4.4348974497456134e-10	0.266622	0.68147194	0.6648422	-0.9404251	-0.057027895	0.33487773
4.515087076344193e-10	0.31142735	0.6213299	0.70193946	-0.9471959	-0.09267527	0.3063931
4.5928979585056877e-10	0.35872573	0.5566812	0.7316109	-0.94979143	-0.13938168	0.27935064
4.670546768724963e-10	0.4073586	0.48611617	0.754562	-0.94701433	-0.1911957	0.25727242
4.748799325917269e-10	0.45564225	0.409389	0.7705834	-0.93969643	-0.24183589	0.2412099
4.82429855925488e-10	0.4997427	0.33089757	0.7790115	-0.93048215	-0.2844786	0.23051646
4.893901139953947e-10	0.5370389	0.25572067	0.7805371	-0.9220629	-0.31647235	0.22276406
4.959865923064435e-10	0.5687207	0.18310682	0.776437	-0.9153422	-0.34039313	0.21510136
5.024233635055337e-10	0.5958856	0.11211979	0.7673021	-0.91041255	-0.35894698	0.20544073
5.088240534911265e-10	0.6192164	0.042578448	0.7533354	-0.90696096	-0.3744389	0.19233066
5.150718133668253e-10	0.63869494	-0.023159979	0.73521566	-0.90446126	-0.38835233	0.17552473
5.212046224169852e-10	0.6550933	-0.08458218	0.713379	-0.9021907	-0.40198568	0.15523672
5.273111481830502e-10	0.6693345	-0.14172165	0.6879559	-0.8995341	-0.41605216	0.13189977
5.334333091368966e-10	0.68222225	-0.19410175	0.6591325	-0.8961017	-0.43060935	0.1062925
5.395903053773487e-10	0.6945452	-0.24102558	0.6271704	-0.89175415	-0.44528937	0.07937007
5.458030942639637e-10	0.70711297	-0.2817995	0.5923285	-0.8865714	-0.45954776	0.052019328
5.519682997250654e-10	0.72043544	-0.31509447	0.5556382	-0.8809035	-0.4725768	0.025448428
5.581344467641977e-10	0.73521197	-0.340692	0.5173097	-0.87502944	-0.4840641	-0.00015269175
5.643052175101337e-10	0.751895	-0.3580979	0.4778086	-0.86922824	-0.49376822	-0.02475816
5.704667641920862e-10	0.77068543	-0.36683887	0.43772882	-0.86370283	-0.5015882	-0.048580043
5.765892535521069e-10	0.79147583	-0.36659157	0.39778283	-0.85854816	-0.507545	-0.071966246
5.82720920554365e-10	0.81417596	-0.3571047	0.35817924	-0.8536804	-0.51179993	-0.095620945
5.888560009226939e-10	0.8382765	-0.33813465	0.31949133	-0.84897745	-0.51446897	-0.11999566
5.948960750093733e-10	0.86263984	-0.31010056	0.28284904	-0.8443363	-0.5156627	-0.14502859
6.008129700386733e-10	0.8862289	-0.2736985	0.2488554	-0.8395983	-0.51554406	-0.170736
6.066899354937068e-10	0.9083696	-0.22903357	0.21744551	-0.83454627	-0.5142156	-0.19748108
6.125826025718963e-10	0.9281664	-0.17620762	0.18878585	-0.8290186	-0.51166844	-0.2254537
6.185297409481473e-10	0.94453865	-0.11546607	0.16320387	-0.8229151	-0.5077845	-0.2547297
6.244570090113283e-10	0.9561244	-0.048515048	0.14147882	-0.81632745	-0.5024313	-0.2847825
6.303559277264936e-10	0.9619806	0.023204334	0.123970985	-0.809373	-0.49536568	-0.3153658
6.362591624868229e-10	0.9614103	0.09856387	0.11086379	-0.80220604	-0.48618644	-0.34642082
6.422109130746487e-10	0.95384437	0.17648348	0.10234332	-0.79506433	-0.47430998	-0.3778956
6.482558503166616e-10	0.93884397	0.25576347	0.09864514	-0.7883254	-0.45894665	-0.40961254
6.543776444871294e-10	0.9164143	0.3342678	0.10000909	-0.7826252	-0.4392904	-0.4408428
6.605260301069523e-10	0.8872528	0.4094468	0.10644967	-0.7788185	-0.41465896	-0.47036958
6.667293480577787e-10	0.85218626	0.47989625	0.11786696	-0.7778933	-0.3841783	-0.49693626
6.730414005469679e-10	0.8121335	0.54459417	0.13419732	-0.78109074	-0.34694427	-0.5187305
6.793823054233816e-10	0.76914406	0.60143644	0.1549179	-0.7896706	-0.30332673	-0.5327922
6.857554601498553e-10	0.72494704	0.6496838	0.17954174	-0.804667	-0.2541494	-0.53599334
6.921842461993843e-10	0.68113816	0.68907404	0.20761013	-0.8266452	-0.20118722	-0.52487993
6.987161710621812e-10	0.63910043	0.71965367	0.23876949	-0.8553785	-0.14728165	-0.4959341
