# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024338096	0.99957347	0.01572918	-0.029931793	0.9994027	0.017267792
2.047e-12	-0.04808077	0.9983188	0.031550437	-0.059184898	0.99764526	0.034656804
4.095e-12	-0.093623854	0.99348694	0.06336314	-0.11541184	0.99087363	0.06963841
8.191e-12	-0.17650837	0.97564435	0.12727919	-0.21795014	0.96590805	0.13970028
1.544764609972913e-11	-0.29528555	0.9236217	0.2394107	-0.36497167	0.8938318	0.2604317
2.264213237952023e-11	-0.3782556	0.8557594	0.3463911	-0.46840575	0.8016976	0.37113565
2.9961721243514745e-11	-0.43054175	0.77855736	0.4486474	-0.5367464	0.69953644	0.47140518
3.7493637903650103e-11	-0.45569474	0.6962272	0.54546744	-0.5770073	0.5935635	0.56046575
4.528843491538392e-11	-0.45714402	0.61118793	0.6358197	-0.59567595	0.48713613	0.6378609
5.3350442465248354e-11	-0.43855733	0.5246	0.7182586	-0.598555	0.38186768	0.7031836
6.164916121317565e-11	-0.40407684	0.43657216	0.79116416	-0.5907379	0.27823853	0.75609684
7.016218754519507e-11	-0.35805368	0.3461575	0.8531498	-0.5764675	0.17576592	0.7964374
7.89069760553667e-11	-0.30455804	0.25156432	0.9030713	-0.5590043	0.0732344	0.82403094
8.793304814574806e-11	-0.24722062	0.15072396	0.93963677	-0.54068285	-0.030832049	0.83834326
9.728631953366287e-11	-0.18937019	0.04210934	0.96107066	-0.5229921	-0.13759494	0.83831465
1.0699441922447014e-10	-0.1338435	-0.07464037	0.9651935	-0.50638074	-0.2476542	0.8225141
1.1672586879548477e-10	-0.08396922	-0.19410077	0.9505688	-0.49038315	-0.3571511	0.7908087
1.256226474026648e-10	-0.04272545	-0.30313328	0.9208386	-0.47411552	-0.45612308	0.7482747
1.3415342953746611e-10	-0.004994831	-0.40500832	0.87800074	-0.45421392	-0.5493719	0.69581544
1.42629250160931e-10	0.03384501	-0.5009733	0.822137	-0.42697406	-0.63953686	0.6329919
1.5116135430876147e-10	0.07824273	-0.58930117	0.7533719	-0.38829416	-0.72650814	0.55973536
1.5953702149352276e-10	0.13121405	-0.6645455	0.67475486	-0.33544764	-0.8062884	0.4788823
1.676960947337075e-10	0.1955665	-0.7230066	0.58894384	-0.26612672	-0.8759571	0.3924529
1.757336339766663e-10	0.2740749	-0.76161784	0.49716997	-0.17744675	-0.9329793	0.30078337
1.8358223038720835e-10	0.36637205	-0.77574813	0.40264112	-0.06905376	-0.972373	0.20595586
1.9135960975522352e-10	0.4719565	-0.7607589	0.30669698	0.0604654	-0.9887643	0.107949264
1.991156675567944e-10	0.5871813	-0.71094006	0.21190798	0.2101927	-0.9741343	0.0077541494
2.0672054079829581e-10	0.7024806	-0.6232744	0.123557694	0.37233117	-0.92003185	-0.09069156
2.1411129366662642e-10	0.8067863	-0.498891	0.046119828	0.53574103	-0.820156	-0.18353316
2.214644263136393e-10	0.8912938	-0.33837283	-0.018431272	0.69026613	-0.66673464	-0.26889142
2.2887709577480827e-10	0.94508183	-0.14607853	-0.066710725	0.81839925	-0.45431522	-0.34197643
2.3624188797472643e-10	0.9577964	0.063437074	-0.094458655	0.8948062	-0.19147256	-0.3942491
2.4351897981222567e-10	0.92611665	0.2731515	-0.099844314	0.8984834	0.101129234	-0.41789475
2.507643796079879e-10	0.85298795	0.46841678	-0.082874544	0.81829274	0.39491907	-0.40679342
2.5801501051048914e-10	0.74656093	0.63628376	-0.04477275	0.6578578	0.65471256	-0.35758612
2.652607530913878e-10	0.61957836	0.7671769	0.011662231	0.43980864	0.84799236	-0.2724559
2.7259899366869126e-10	0.48434693	0.8585323	0.08359671	0.19571388	0.95929754	-0.15779391
2.801244139799638e-10	0.35252622	0.9109747	0.16813205	-0.041652896	0.98861116	-0.023137733
2.879228034003712e-10	0.23450829	0.9275023	0.26221743	-0.24627912	0.94890267	0.12062167
2.9603946318248395e-10	0.13910785	0.91280603	0.3622212	-0.40307608	0.86037624	0.26281875
3.042742085895278e-10	0.073664725	0.87390375	0.4615829	-0.5068824	0.7469352	0.39187512
3.127537890900184e-10	0.03810263	0.816516	0.5582158	-0.56717396	0.62294644	0.5056115
3.2163172519769755e-10	0.031292852	0.7434905	0.65039086	-0.59402484	0.4951954	0.60372365
3.310475707993643e-10	0.051513307	0.65532565	0.7357145	-0.596159	0.3658856	0.68590343
3.4083176381317005e-10	0.09433245	0.5538062	0.8087708	-0.5816442	0.23811558	0.7495647
3.5091157955665005e-10	0.1528911	0.43936387	0.8656011	-0.5579523	0.111405596	0.7938642
3.6097139075094003e-10	0.2177735	0.31606713	0.9021757	-0.53144014	-0.012455314	0.817735
3.709376526367969e-10	0.28185394	0.18708177	0.9175161	-0.5056102	-0.13430732	0.8218985
3.809873454325545e-10	0.34192538	0.053963583	0.91146666	-0.48098773	-0.25705793	0.80663353
3.912506286758001e-10	0.3969099	-0.07948935	0.8833249	-0.4560865	-0.38203028	0.7709703
4.012868604146512e-10	0.44574767	-0.20093738	0.8356002	-0.42864174	-0.50268465	0.7167806
4.1109818745050265e-10	0.49224418	-0.3043284	0.77172506	-0.39386314	-0.61720955	0.6460217
4.2101609169921837e-10	0.5425769	-0.3868009	0.69277537	-0.3443367	-0.7266301	0.55779356
4.3063729291901647e-10	0.5986186	-0.43948346	0.6058615	-0.275714	-0.8225772	0.45774648
4.3987590661706173e-10	0.66111237	-0.45932364	0.51661235	-0.18473233	-0.8996754	0.35013083
