# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024335736	0.99957347	0.015730567	-0.026392482	0.99950904	0.01688923
2.047e-12	-0.048076004	0.99831903	0.03155316	-0.052137077	0.9980658	0.033857916
4.095e-12	-0.09361419	0.99348783	0.06336839	-0.10150179	0.99251497	0.06790729
8.191e-12	-0.17648877	0.97564775	0.12728904	-0.19121802	0.97208583	0.13595852
1.5449934287170933e-11	-0.29528072	0.92361337	0.23946264	-0.31941226	0.9129787	0.25385618
2.2644456818567193e-11	-0.37822524	0.85575736	0.34644872	-0.4089023	0.83681715	0.3640411
2.996430973102474e-11	-0.43048912	0.7785625	0.44871348	-0.46633357	0.7512839	0.46699202
3.7495982073985335e-11	-0.45561936	0.6962467	0.54553545	-0.49664527	0.6612365	0.5621968
4.529177170937758e-11	-0.457048	0.6112088	0.6359046	-0.50445825	0.5693655	0.6490567
5.335434583053441e-11	-0.43843937	0.52462614	0.7183548	-0.4942651	0.4770163	0.7266754
6.165139355339633e-11	-0.40394846	0.43662575	0.7912532	-0.47060627	0.38448748	0.79408
7.01649227934941e-11	-0.357908	0.34621313	0.8532526	-0.43781796	0.2909921	0.8505635
7.89103287874985e-11	-0.30439588	0.25161794	0.90318865	-0.39972183	0.19498387	0.8955243
8.793543854413763e-11	-0.2470547	0.1507902	0.9397634	-0.35954675	0.094581164	0.9281492
9.728771719450273e-11	-0.18920389	0.042186573	0.96121186	-0.3200551	-0.011766077	0.9471022
1.0699494189600954e-10	-0.13368005	-0.07455551	0.96535426	-0.28342998	-0.124765694	0.95054877
1.1672730445801336e-10	-0.08380528	-0.1940324	0.95074815	-0.25177547	-0.23998825	0.93717265
1.2562271620452386e-10	-0.04257825	-0.3030547	0.92104053	-0.22635654	-0.3457323	0.91012686
1.3415161428899872e-10	-0.004872529	-0.4049153	0.87823075	-0.20309646	-0.44605753	0.87102515
1.42626228271259e-10	0.033937424	-0.5008775	0.8223939	-0.17811522	-0.54314566	0.8197217
1.511611311609972e-10	0.07831804	-0.58924687	0.7536216	-0.14727214	-0.63650584	0.7560382
1.595357461693997e-10	0.13124597	-0.66449636	0.6750261	-0.107177466	-0.7216587	0.6825446
1.6769445613225336e-10	0.1955539	-0.722975	0.58922905	-0.05447542	-0.79578704	0.60133123
1.7573250561680073e-10	0.2740237	-0.7616155	0.49745727	0.014473525	-0.8567643	0.5130842
1.8358147905555628e-10	0.36628377	-0.7757805	0.40292943	0.101024754	-0.9001657	0.42028287
1.9135921008468584e-10	0.47183642	-0.7608343	0.30698442	0.20697203	-0.9215627	0.32344592
1.991153848050559e-10	0.5870352	-0.7110698	0.21219549	0.33185506	-0.91428864	0.22411987
2.0671865850903462e-10	0.70229673	-0.62349343	0.12386191	0.4691043	-0.8715986	0.1267549
2.141101885116341e-10	0.8066208	-0.4991787	0.04640992	0.6093416	-0.7891762	0.035397742
2.2146456211477887e-10	0.89117295	-0.33871654	-0.018160867	0.74455786	-0.6619931	-0.048255086
2.2887655740640067e-10	0.9450162	-0.14652266	-0.06644984	0.86190754	-0.48704568	-0.120435685
2.362411765604841e-10	0.9578271	0.06291419	-0.094219334	0.94341063	-0.27174374	-0.17483696
2.435184264593287e-10	0.92627645	0.2725837	-0.09963598	0.9751052	-0.030712798	-0.20665574
2.507636622683908e-10	0.8533052	0.4678346	-0.082707085	0.949607	0.21841794	-0.21281785
2.5801390814448904e-10	0.7470512	0.6357368	-0.044657223	0.86705095	0.4546712	-0.19162466
2.652590735673265e-10	0.6202322	0.76672363	0.011718191	0.7372395	0.65696454	-0.14383876
2.72597440657638e-10	0.48511302	0.8582344	0.08360131	0.5752317	0.8126319	-0.07178983
2.8012367464165113e-10	0.35333946	0.91086155	0.16810471	0.39910075	0.91498256	0.020977695
2.8792115789471525e-10	0.23534222	0.9275683	0.26215562	0.22744581	0.96366024	0.12979345
2.960385277045959e-10	0.1398994	0.9130313	0.3621657	0.0769907	0.9640654	0.24886994
3.0427128552157073e-10	0.07441772	0.8742641	0.4615214	-0.03773378	0.92720735	0.3687782
3.1274888297794647e-10	0.038804047	0.81698436	0.55816776	-0.115118414	0.86444527	0.48611557
3.216255747200865e-10	0.03194544	0.7440366	0.6503814	-0.15654325	0.7832273	0.5987228
3.3104034659215974e-10	0.052134812	0.6559267	0.73575985	-0.16468053	0.68746185	0.70444286
3.408271746718007e-10	0.09496596	0.5544032	0.80890703	-0.14438185	0.58111835	0.79809594
3.509105089717841e-10	0.15357286	0.43992102	0.8658269	-0.103418574	0.46496895	0.87644833
3.609692818928505e-10	0.21848983	0.31661564	0.9024642	-0.05180952	0.34170306	0.93550944
3.7093353512649035e-10	0.28260037	0.18761589	0.91786754	0.0020664653	0.21179967	0.9743338
3.809816997899538e-10	0.34269878	0.05445782	0.911883	0.05317015	0.073687606	0.99269956
3.9124144365781763e-10	0.39768365	-0.07902947	0.88381195	0.09819015	-0.07217593	0.98907804
4.01277877558613e-10	0.44651505	-0.20057306	0.8361358	0.13438165	-0.21552499	0.96327454
4.110912403386134e-10	0.4929844	-0.30408037	0.7722787	0.16443995	-0.35140806	0.9170435
4.210091333908133e-10	0.54325306	-0.38664448	0.69334364	0.19436769	-0.47905785	0.850303
4.306307995422194e-10	0.59921634	-0.43941164	0.60642534	0.22945896	-0.5882947	0.7681263
4.3986929724703227e-10	0.6616223	-0.45932186	0.5171658	0.2752816	-0.6745249	0.6753632
4.48975636864406e-10	0.7306502	-0.44479322	0.42769417	0.33750957	-0.7361647	0.5733469
4.5792559613010094e-10	0.80181086	-0.39407477	0.34265724	0.41842985	-0.76791155	0.46595222
4.668824128424744e-10	0.8692369	-0.30590573	0.2650768	0.51905864	-0.76376784	0.35508248
