# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024342151	0.9995733	0.015731223	-0.028034788	0.99946135	0.017061723
2.047e-12	-0.048088796	0.9983183	0.031554494	-0.055409335	0.9978773	0.03421634
4.095e-12	-0.09363951	0.9934849	0.06337108	-0.10797105	0.99178004	0.06866394
8.191e-12	-0.17653787	0.97563696	0.12729412	-0.20371649	0.9693218	0.13752785
1.5450585643045285e-11	-0.2953758	0.9235745	0.23947933	-0.3410635	0.90437293	0.25646567
2.2644285640566874e-11	-0.37834027	0.8556978	0.3464499	-0.43772563	0.82096004	0.36657974
2.996347038364872e-11	-0.43062904	0.77848047	0.44869703	-0.5012201	0.7277396	0.4680553
3.7494181263120267e-11	-0.4557886	0.6961457	0.5454934	-0.537374	0.63019073	0.56027126
4.5288960686886005e-11	-0.457255	0.61109114	0.6358337	-0.55163467	0.53135586	0.64269817
5.335069296076489e-11	-0.43869248	0.5244932	0.71825475	-0.5490984	0.43282932	0.7146416
6.164925033497623e-11	-0.4042439	0.43645784	0.7911422	-0.53460294	0.33512262	0.7754301
7.016244463938254e-11	-0.3582583	0.34603688	0.8531122	-0.5125205	0.23774898	0.8246206
7.890899766562819e-11	-0.3047966	0.25142598	0.903027	-0.48647928	0.1393947	0.86189413
8.793369163772817e-11	-0.2475186	0.15060943	0.9395726	-0.45935202	0.03848169	0.8866589
9.72856435513668e-11	-0.18973072	0.04202706	0.9609965	-0.43331045	-0.06635236	0.8978423
1.0699500780978703e-10	-0.13425288	-0.07471325	0.9651193	-0.409705	-0.1758151	0.8939158
1.167287766546964e-10	-0.08442177	-0.19417319	0.95049435	-0.38930553	-0.2859195	0.87411773
1.2562691044680884e-10	-0.04322006	-0.30319452	0.9207663	-0.37202364	-0.38623774	0.84223586
1.3415706163331655e-10	-0.005536106	-0.40503716	0.87794304	-0.3543584	-0.48129335	0.7995525
