# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.02433331	0.9995736	0.015728101	-0.02922717	0.9994249	0.017197352
2.047e-12	-0.04807125	0.9983194	0.031548288	-0.057780065	0.9977325	0.034517247
4.095e-12	-0.09360511	0.99348927	0.06335889	-0.112631544	0.9912122	0.06937078
8.191e-12	-0.17647241	0.97565293	0.12727123	-0.21256861	0.96717125	0.13925575
1.544743300247309e-11	-0.29522088	0.92364967	0.23939571	-0.3555966	0.8976988	0.26011825
2.2641773893324367e-11	-0.37817028	0.8558107	0.3463752	-0.4557496	0.8087159	0.37171352
2.9961978735888524e-11	-0.43044317	0.77862465	0.44864646	-0.5210721	0.70980364	0.47372672
3.749286314319247e-11	-0.45557526	0.69632745	0.5454649	-0.5581257	0.60697687	0.5653341
4.528660122569224e-11	-0.4570068	0.6113193	0.6358229	-0.5730775	0.5034609	0.64601403
5.3349763946319767e-11	-0.4383944	0.5247357	0.7182955	-0.57156676	0.40075645	0.7152358
6.165040061721862e-11	-0.4038744	0.4367007	0.7912404	-0.55872256	0.29923737	0.77247494
7.016256740479449e-11	-0.35781866	0.34630328	0.8532428	-0.5389898	0.19826733	0.8173902
7.890645418215476e-11	-0.30428785	0.2517221	0.903184	-0.5158858	0.09634933	0.8496872
8.793254250861809e-11	-0.24690706	0.15087701	0.9397739	-0.49202698	-0.0082580885	0.86867213
9.728543777449777e-11	-0.18901516	0.042254694	0.96122944	-0.4692196	-0.11687627	0.8730415
1.0699411109079452e-10	-0.1334441	-0.07452125	0.96537066	-0.4482516	-0.23010209	0.8610273
1.1672724611663564e-10	-0.083527505	-0.1940265	0.9507535	-0.42908338	-0.34363434	0.83202475
1.2562334518047038e-10	-0.042263307	-0.30307376	0.9210282	-0.41106108	-0.4465378	0.7908407
1.3415420088574217e-10	-0.0045156307	-0.40496984	0.8781878	-0.39045733	-0.5433786	0.73860145
1.426291595866653e-10	0.034331977	-0.5009409	0.8223232	-0.363317	-0.6365691	0.67499894
1.511628796134244e-10	0.078747034	-0.58929396	0.7535335	-0.32526657	-0.7257864	0.6000395
