# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024330847	0.9995737	0.015727852	-0.026540732	0.99950475	0.01690902
2.047e-12	-0.048066344	0.99831975	0.031547774	-0.052430112	0.9980489	0.033906747
4.095e-12	-0.0935954	0.99349034	0.06335787	-0.10207018	0.9924477	0.06803931
8.191e-12	-0.17645362	0.97565705	0.1272693	-0.19226013	0.97182685	0.13633858
1.5449934287170933e-11	-0.29522282	0.9236413	0.23943129	-0.3209626	0.91216195	0.25483173
2.264401388915259e-11	-0.37814674	0.85581183	0.34640652	-0.41050008	0.83533555	0.36563355
2.996344400341107e-11	-0.43039608	0.77864426	0.4486688	-0.46759644	0.749159	0.4691216
3.74945025524484e-11	-0.45551282	0.69635606	0.5454937	-0.49729788	0.65855986	0.5647297
4.5288319836046966e-11	-0.45692778	0.61135757	0.63585865	-0.5043413	0.566234	0.65184313
5.3350878850284883e-11	-0.4382995	0.5247895	0.71833307	-0.49331295	0.4734127	0.72962314
6.164943770969543e-11	-0.4037711	0.4367834	0.79127085	-0.46880367	0.38027948	0.79710513
7.016216381480414e-11	-0.35769373	0.34638417	0.8532903	-0.43518868	0.28595015	0.85354424
7.890776804977996e-11	-0.30413088	0.2517851	0.9032528	-0.39628643	0.18870854	0.89830554
8.793516524203685e-11	-0.24671917	0.15092143	0.9398563	-0.35532552	0.086554654	0.93045527
9.72892295150964e-11	-0.18879858	0.04227677	0.96131915	-0.3150867	-0.022082862	0.9484637
1.069994248615897e-10	-0.13320042	-0.0745305	0.9654607	-0.27772874	-0.13788544	0.95027316
1.1672936758627847e-10	-0.08328521	-0.19401109	0.9508466	-0.24531074	-0.25605968	0.9344485
1.256245757634958e-10	-0.042013973	-0.30306065	0.9211233	-0.21897285	-0.36445215	0.9043898
1.341539223607124e-10	-0.004265162	-0.40495044	0.8782886	-0.19440721	-0.4670004	0.861716
1.426275596743726e-10	0.03458107	-0.5009166	0.82243073	-0.16745012	-0.5657038	0.80629313
1.5115989669346145e-10	0.07899015	-0.58926356	0.7536495	-0.13364576	-0.6598046	0.7380356
1.595357550968933e-10	0.13196965	-0.6645118	0.6750108	-0.08942488	-0.7445465	0.65977865
1.6769503156112227e-10	0.1963298	-0.72295934	0.58917475	-0.031418517	-0.81675464	0.5739084
1.7573349881403825e-10	0.27485383	-0.7615394	0.49736637	0.04396039	-0.87390876	0.48128298
