# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024334535	0.9995736	0.015728137	-0.03146444	0.9993527	0.017441727
2.047e-12	-0.048073694	0.99831915	0.03154836	-0.062231004	0.9974465	0.035041645
4.095e-12	-0.09360995	0.99348855	0.06335905	-0.12139109	0.99009514	0.0705364
8.191e-12	-0.17648175	0.9756505	0.12727149	-0.22924416	0.96297306	0.14185506
1.5383557092020222e-11	-0.29434854	0.92418694	0.23842297	-0.38214633	0.8856188	0.2637614
2.257252481348925e-11	-0.37754938	0.8564997	0.3453716	-0.48989552	0.7864864	0.37572435
2.9804954291017714e-11	-0.42965508	0.7803056	0.44652894	-0.5599195	0.6785746	0.4747469
3.727576766734568e-11	-0.45523554	0.6986831	0.5427935	-0.60158503	0.56702954	0.56159854
4.506353642068909e-11	-0.4572938	0.61370647	0.63336724	-0.621808	0.45490927	0.6360515
5.3117993716673604e-11	-0.4392014	0.52717197	0.7160641	-0.62646735	0.34460387	0.69726574
6.141208521921694e-11	-0.40507942	0.4391858	0.7892904	-0.6207927	0.23648174	0.74515414
6.991866180918718e-11	-0.35929674	0.3488702	0.85161465	-0.60897774	0.13009533	0.77964944
7.865752294109188e-11	-0.30591935	0.2544121	0.90191585	-0.5941509	0.024167536	0.8006093
8.76748514484828e-11	-0.2486074	0.15377009	0.938894	-0.5784174	-0.082821384	0.8074528
9.701685746510496e-11	-0.1907008	0.04539465	0.9607932	-0.5628108	-0.19215052	0.79907864
1.067151074846244e-10	-0.13503829	-0.07115394	0.9654475	-0.54702353	-0.30450547	0.7740323
1.164791202119913e-10	-0.08480827	-0.19099863	0.95128876	-0.5296283	-0.4162679	0.73239225
1.2539227052467836e-10	-0.04337401	-0.30028895	0.92192066	-0.5096478	-0.51641273	0.68058234
1.3392705877895411e-10	-0.0055936957	-0.40233195	0.87942827	-0.48373038	-0.60966057	0.61940134
1.4239975599082743e-10	0.033165365	-0.49845123	0.8239244	-0.44809052	-0.6984505	0.54839575
1.5093955713569163e-10	0.077423416	-0.58712614	0.75540614	-0.39855465	-0.78246367	0.4675257
1.5931345493756692e-10	0.13009697	-0.66270274	0.67706865	-0.3330954	-0.85715854	0.38023126
1.6747873038343678e-10	0.19412886	-0.7216485	0.5914042	-0.2499086	-0.91939414	0.28851444
1.755240365895421e-10	0.27230355	-0.76083934	0.49969387	-0.14666045	-0.9659676	0.19277464
1.8337498454973394e-10	0.3642316	-0.7756283	0.40522286	-0.024084726	-0.9913801	0.095239684
1.9115223252399294e-10	0.46948257	-0.7614335	0.30929366	0.11833202	-0.9894637	-0.0041625323
1.9890871498557516e-10	0.5845241	-0.71254486	0.21442506	0.27824157	-0.9513595	-0.10439058
2.0652074067667612e-10	0.6999674	-0.62579006	0.12582083	0.44572443	-0.8684524	-0.2013666
2.1391531585840677e-10	0.80462956	-0.5022924	0.048078906	0.6068237	-0.7350731	-0.29068616
