# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024330989	0.9995737	0.015727773	-0.026996197	0.9994917	0.016959377
2.047e-12	-0.048066627	0.9983196	0.031547625	-0.05333594	0.99799716	0.03401593
4.095e-12	-0.093595974	0.9934903	0.063357584	-0.10385304	0.9922457	0.06828661
8.191e-12	-0.17645478	0.97565687	0.12726878	-0.19566427	0.97106653	0.13691042
1.545042356195602e-11	-0.29523176	0.9236366	0.23943782	-0.326698	0.90980536	0.25595677
2.2643830292686705e-11	-0.3781482	0.85581255	0.34640262	-0.4178796	0.8310532	0.36700863
2.996306266881874e-11	-0.43039823	0.77864665	0.4486621	-0.47625706	0.7428891	0.47034037
3.749480001659429e-11	-0.45551834	0.6963503	0.5454954	-0.50717956	0.6503707	0.56537575
4.5287742499913926e-11	-0.4569344	0.6113608	0.63584995	-0.5156181	0.5562582	0.6515379
5.335139499808273e-11	-0.43830466	0.5247803	0.71833515	-0.50628936	0.46174952	0.7281204
6.164949958921211e-11	-0.40377873	0.43677852	0.79126805	-0.48381266	0.3671109	0.79420286
7.01639525299582e-11	-0.35769224	0.34636047	0.85329825	-0.45253783	0.27149507	0.8491088
7.890970546517953e-11	-0.30412874	0.2517591	0.9032578	-0.41628456	0.173316	0.89219165
8.793514227044432e-11	-0.24673057	0.1509171	0.9398513	-0.37826538	0.07064143	0.92253685
9.728735003456174e-11	-0.18882221	0.042294767	0.961311	-0.34116971	-0.038109105	0.9386519
1.0699603525008711e-10	-0.1332322	-0.07449281	0.96545637	-0.3069703	-0.15365079	0.93850654
1.1672978569300472e-10	-0.08329732	-0.19401911	0.95083886	-0.27733973	-0.271337	0.92074203
1.2562558754330655e-10	-0.042024024	-0.30307502	0.92111206	-0.25303957	-0.37908503	0.88895357
1.3415750000272647e-10	-0.004264049	-0.40499356	0.87826073	-0.22982928	-0.48098505	0.8446692
1.4263212197017476e-10	0.034588307	-0.5009671	0.82238996	-0.20357868	-0.579078	0.7877363
1.5116449134647604e-10	0.0790018	-0.5893085	0.7536021	-0.16980468	-0.67271876	0.71806943
