# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()
0	0	1	0	0	1	0
1.023e-12	-0.024330664	0.9995737	0.015727742	-0.026589949	0.9995034	0.01691551
2.047e-12	-0.048065983	0.99831975	0.031547554	-0.052526917	0.9980432	0.033922516
4.095e-12	-0.0935947	0.99349046	0.06335744	-0.102255784	0.9924256	0.06808077
8.191e-12	-0.17645231	0.9756574	0.1272685	-0.19259074	0.9717457	0.1364504
1.5445854253671915e-11	-0.29516396	0.9236772	0.2393679	-0.3213689	0.9119683	0.25500983
2.2639602818838588e-11	-0.37810314	0.8558585	0.34634128	-0.4109456	0.8350055	0.36587974
2.9958955507064944e-11	-0.43036973	0.7786955	0.4486071	-0.46805477	0.74872017	0.46935332
3.749026441519517e-11	-0.45550203	0.696406	0.5454408	-0.49781153	0.65802294	0.56488794
4.5284869704166206e-11	-0.45692724	0.6113992	0.6358205	-0.5049711	0.56556666	0.651919
5.334867964529983e-11	-0.43830124	0.5248177	0.7183124	-0.49408287	0.47255304	0.7296444
6.164750056757422e-11	-0.40377367	0.43680897	0.79125637	-0.46968585	0.37918746	0.7970922
7.016079707378356e-11	-0.3576931	0.34640405	0.85328346	-0.43612355	0.2846067	0.85350156
7.890691599207462e-11	-0.30412573	0.25179958	0.9032514	-0.39723352	0.18713504	0.8981982
8.793111534934655e-11	-0.24673218	0.15097225	0.9398468	-0.35630804	0.08482356	0.9302148
9.728353056738657e-11	-0.18881787	0.04234816	0.96131504	-0.31614053	-0.023980508	0.9480363
1.0699154819826175e-10	-0.13322607	-0.074431606	0.9654688	-0.27889574	-0.13996829	0.9495904
1.1672253142331454e-10	-0.083299115	-0.19392529	0.950867	-0.24657322	-0.25839296	0.9334319
1.2561915168881365e-10	-0.042017296	-0.3029943	0.92114925	-0.22027291	-0.36701915	0.90298855
1.3415021748709597e-10	-0.004259048	-0.40490758	0.8783126	-0.1956698	-0.46976584	0.85987496
1.4262547575356416e-10	0.034595143	-0.500895	0.8224474	-0.16858321	-0.5686169	0.80395466
1.5115619966561837e-10	0.078994855	-0.5892287	0.753682	-0.1345415	-0.66277194	0.73516876
1.5952994577192043e-10	0.1319562	-0.66446507	0.6750677	-0.08994257	-0.74749225	0.6563546
1.676903724798908e-10	0.19631818	-0.72293025	0.5892236	-0.031366006	-0.81960243	0.5698719
1.7572739982555482e-10	0.27481943	-0.7615154	0.49743468	0.04475125	-0.87646675	0.4766548
1.8357602773096365e-10	0.36711153	-0.77560425	0.40288597	0.13935447	-0.91321623	0.3794534
1.9135339619025597e-10	0.472684	-0.7605545	0.30692673	0.25363827	-0.9247799	0.27901495
1.9910919135077845e-10	0.58787996	-0.7106593	0.21213363	0.38606372	-0.9039025	0.17720471
2.067146095357414e-10	0.70314157	-0.62289816	0.12378138	0.5284183	-0.84390634	0.078846216
2.1410549343422334e-10	0.807376	-0.49842408	0.046360906	0.66945136	-0.7412749	-0.0116084255
2.2146057944305108e-10	0.8917984	-0.3377882	-0.018171038	0.7994885	-0.5918687	-0.09212924
2.288741212994123e-10	0.9454514	-0.14543179	-0.06640129	0.9039949	-0.3947888	-0.15845591
2.362396207323716e-10	0.95801586	0.06408104	-0.094085336	0.9647224	-0.1612788	-0.20407002
2.4351713488855045e-10	0.92620873	0.27371442	-0.09940401	0.9695273	0.09020167	-0.22436641
2.507635197895899e-10	0.8530039	0.4688562	-0.08237514	0.91451263	0.33933464	-0.21680865
2.58013987633827e-10	0.7465962	0.6365473	-0.04423939	0.80462426	0.5642008	-0.18072288
2.652591309033602e-10	0.61972356	0.7672829	0.012196736	0.6545161	0.7455289	-0.1183341
2.725975598717594e-10	0.48464435	0.85854894	0.08411319	0.48218963	0.8742491	-0.03325286
2.801231809436511e-10	0.35299987	0.9109651	0.168614	0.3065785	0.9480101	0.06988673
2.8792073455489777e-10	0.23516981	0.92752254	0.2626456	0.14495529	0.9704474	0.1857478
2.960381096332268e-10	0.13991657	0.9128952	0.36261773	0.011160993	0.9496438	0.30834848
3.042712173811486e-10	0.07461513	0.87408537	0.4619301	-0.08432533	0.8977983	0.4286122
3.1274856592936373e-10	0.03916808	0.8167968	0.5585216	-0.14256375	0.8250171	0.54387707
3.2162432409013535e-10	0.032453753	0.74385977	0.6506721	-0.16654053	0.7370011	0.65257895
3.310392851390975e-10	0.05276677	0.6557493	0.7359963	-0.15986493	0.635864	0.7529367
3.408273919528646e-10	0.095707215	0.55420053	0.80909145	-0.12822467	0.52414757	0.8400363
3.5091029316983126e-10	0.15439449	0.4396945	0.86593854	-0.079587504	0.40168184	0.9105865
3.6096891084690024e-10	0.21937057	0.31635123	0.9024959	-0.023924887	0.27109113	0.9605993
3.7093418310085236e-10	0.28352866	0.1872973	0.91781014	0.030992769	0.13337417	0.9889142
3.8098333728560274e-10	0.3436613	0.05409699	0.91172117	0.08099899	-0.01222096	0.9948777
3.912421656079402e-10	0.39866778	-0.07938048	0.8835394	0.12402526	-0.16405098	0.97666836
4.012795041806944e-10	0.44754001	-0.20089716	0.8357475	0.15923929	-0.31043354	0.934907
4.110944507010272e-10	0.4940735	-0.30433413	0.77177536	0.19125214	-0.4455525	0.8719143
4.210117495477969e-10	0.54442316	-0.38674805	0.69275266	0.22792386	-0.567707	0.787796
4.306330913546421e-10	0.60048676	-0.43931273	0.6057696	0.2753213	-0.66609603	0.6891807
4.398722426481066e-10	0.6630002	-0.4589692	0.51646537	0.3384061	-0.73552954	0.5819285
4.4897923329917567e-10	0.7321139	-0.4441237	0.42698264	0.42165262	-0.7728728	0.467862
4.579274561534855e-10	0.80328745	-0.3930524	0.3419968	0.5243542	-0.7715407	0.3518893
